"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000005073.6",71.1483836148614,4.13174525467316,1.14870987433881,3.59685708895936,0.000322085322370571,0.0299813231881477
"ENSG00000006555.11",1394.64401963925,1.37145184910024,0.366127043791514,3.74583596693064,0.00017979404821772,0.0214865664522898
"ENSG00000006611.17",4384.14545396141,1.9359700204048,0.554711359687411,3.49004935016249,0.000482931357140667,0.0364087670822828
"ENSG00000011426.11",1318.21476604598,2.13525880066453,0.590477443366541,3.61615642502886,0.000299009729908337,0.0286451524473441
"ENSG00000016490.16",288.232934114249,6.75076062378451,1.831120964493,3.68668195858576,0.000227197008768617,0.0246734148371855
"ENSG00000019102.12",4395.35069706528,2.81086884153476,0.76852556895924,3.6574825289695,0.000254704614664545,0.0260093327967336
"ENSG00000019186.10",171.157397118539,3.98077780304928,1.19598264250128,3.32845784009362,0.000873282214556003,0.0488734445107447
"ENSG00000043355.12",75.1023190598046,8.04093252368884,1.48290194829138,5.42243034541407,5.87941274978863e-08,0.000134084907269555
"ENSG00000053747.17",12974.4426758866,2.38129376399491,0.626210301496161,3.80270614888552,0.000143124082683154,0.0192949594620191
"ENSG00000060140.9",577.596826067414,2.73980837301154,0.589648530921104,4.64651097956884,3.37596173107411e-06,0.00236897294087962
"ENSG00000064270.13",882.614765276031,2.22734734906481,0.601607295884708,3.70232768834581,0.000213630447773497,0.0236697346729445
"ENSG00000069764.10",266.419874393914,3.03163561105502,0.800828470895308,3.78562416451768,0.000153323254563725,0.0196344061631927
"ENSG00000074211.14",765.394507681346,3.89957551324902,0.864876736611422,4.5088222959118,6.51884813261121e-06,0.00339418493934337
"ENSG00000076356.7",4097.67118277017,1.56558659690949,0.35631114678492,4.39387487884158,1.11347918076851e-05,0.00461705829395329
"ENSG00000079385.23",3471.17580947458,1.89628986133422,0.548295573014302,3.45851754904603,0.000543156886538774,0.0385092603987218
"ENSG00000086159.13",73.808274105885,3.40277329264873,0.919769959922335,3.69959168152878,0.000215946620376393,0.0237341813648223
"ENSG00000088836.14",995.372679733287,2.64418194808769,0.6369914195896,4.15104798396072,3.30956364036113e-05,0.0088704820373346
"ENSG00000089356.18",205.438812331209,3.64094479744933,0.686655082710103,5.30243624365116,1.1426737974833e-07,0.000240550413967119
"ENSG00000090402.8",133.068763079109,21.8832034982902,2.11245265554612,10.3591450633637,3.80346362981951e-25,1.0408938915727e-20
"ENSG00000092607.15",264.739342038515,2.86224131640825,0.80213374639964,3.56828437807954,0.000359326386412123,0.0310210890124308
"ENSG00000094804.12",535.065381902677,1.65149263566652,0.481152554067652,3.4323680124003,0.000598335041086619,0.040035782565813
"ENSG00000095539.15",1469.19455332036,1.82160646923525,0.520022178967261,3.50293995700889,0.000460153176024158,0.0355588598259482
"ENSG00000099812.9",7359.99748762511,2.32053075152085,0.591261989329678,3.92470815543489,8.68349466152405e-05,0.0145792146258852
"ENSG00000099834.19",2314.59866312141,2.83143221771069,0.84435240643419,3.35337732934072,0.000798317923963231,0.046291220877548
"ENSG00000100994.12",15702.9434256318,1.59784943499989,0.437261601891154,3.65421850006768,0.000257966515862473,0.0261472949615122
"ENSG00000101188.5",625.086691352444,4.68983836923086,1.14154949417315,4.10830927013622,3.98566157161869e-05,0.0100995926139341
"ENSG00000101213.7",2612.55117515666,2.3037412894271,0.657784606654041,3.50227303303062,0.000461306627568815,0.0355588598259482
"ENSG00000101842.14",3227.27529825619,3.71319566223067,1.05746683858839,3.51140624625866,0.000445742657394212,0.0350586608449713
"ENSG00000103269.14",187.342671261073,2.41192712442932,0.65534855595977,3.68037299006023,0.000232893039901761,0.0247999370544416
"ENSG00000103355.13",123.948007643254,5.13621804450643,1.20131862214451,4.2754835809817,1.90722857404783e-05,0.00644384251678606
"ENSG00000103460.17",1036.16096357822,2.26285938317067,0.555247685806113,4.07540533894425,4.59342652058818e-05,0.0109008080176189
"ENSG00000104369.5",395.321449355263,2.5725089744776,0.579762462550199,4.43717753502341,9.1146117089821e-06,0.00437613295859146
"ENSG00000104413.18",4019.38645566332,1.59209947355043,0.451073940663353,3.52957537562263,0.000416227119584983,0.0337008508333794
"ENSG00000104827.12",15.7445756801532,6.50888376301755,1.86725217688423,3.48580863559551,0.000490651861923382,0.0366876215990634
"ENSG00000105219.10",54.1806651294347,3.40227348355754,0.984463910997073,3.45596567385766,0.000548325143956045,0.0387717125016977
"ENSG00000105523.3",2522.24134482839,2.6041070926087,0.67021425410355,3.88548449494236,0.000102126011272623,0.0160912312035378
"ENSG00000106089.12",1727.72169935736,1.88163649263755,0.534196027355257,3.52237080824676,0.000427705447310779,0.0342251899899242
"ENSG00000106384.12",76.6727517601614,4.96747499956992,1.17058171837841,4.24359523267739,2.19966960533658e-05,0.0071876893234006
"ENSG00000106789.13",3192.88684381147,1.95564768871753,0.512994564066735,3.81221912609414,0.000137724693471131,0.0188455584311223
"ENSG00000107159.13",3557.88553907288,3.70208106957186,1.03610107559312,3.57308872346512,0.000352795159581734,0.0309047924130914
"ENSG00000108602.18",706.077203272433,4.00314086880055,0.962247353735867,4.16019940533856,3.17969857580005e-05,0.00884124050401906
"ENSG00000109255.11",490.768845467657,3.70102310429174,0.894822696410712,4.13604071414056,3.53349524952937e-05,0.00912275136734625
"ENSG00000110245.12",67.5248948828931,21.7445265458439,2.14276544215786,10.1478799863163,3.38639675682049e-24,4.63377600219532e-20
"ENSG00000110723.12",535.969923987543,1.3803095567435,0.400665290886683,3.44504400091368,0.00057096643941589,0.0392908253404721
