"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000167851.15",764.106372526951,-1.68401703882643,0.453746722552759,-3.7113591242097,0.000206149387181087,0.0231216814712492
"ENSG00000168010.11",1195.16660498727,-1.76701032929202,0.403794080315115,-4.37601840996053,1.20866810285363e-05,0.00493695820459631
"ENSG00000168356.13",25.5120538183232,-3.00542540662229,0.592892443359505,-5.06909042320165,3.99721307860476e-07,0.000546958651610882
"ENSG00000169442.9",1214.73340921389,-2.43744468300119,0.679483235292725,-3.58720356353034,0.000334243383154525,0.0303829895602775
"ENSG00000171608.16",1109.28796179412,-1.65050225701536,0.487880282535295,-3.38300668442357,0.000716968872070862,0.043993917313819
"ENSG00000172738.12",36.4409930795643,-1.99753493707039,0.473966694706966,-4.21450485736214,2.50326765318054e-05,0.00766064172850583
"ENSG00000173868.12",36.8200894596498,-2.01829837848421,0.508143047356251,-3.97190985685024,7.129870135682e-05,0.0130955138257188
"ENSG00000178789.9",82.537473225622,-2.19735416250538,0.553754403714834,-3.96810237131216,7.24472137996795e-05,0.0131041038198145
"ENSG00000179044.16",260.506047835976,-1.41352301089081,0.369081096531223,-3.82984396701888,0.000128224537365077,0.0182766714274482
"ENSG00000179165.11",2.22556968361013,-1.60482891736477,0.441843406816444,-3.6321214543583,0.00028110075594917,0.0274745871002176
"ENSG00000179583.19",1961.39888610902,-1.98851002293026,0.503881791731397,-3.94638197998285,7.93410021549607e-05,0.0137425645947773
"ENSG00000179840.5",3.7230913944595,-2.3138825847931,0.67900661299745,-3.4077467590169,0.000655016539842927,0.0417506667661965
"ENSG00000180539.8",42.893262650056,-1.69547123629275,0.449178091022981,-3.77460804562262,0.000160259438734653,0.0200631817227853
"ENSG00000180644.8",379.987303142715,-2.17636771116035,0.534170008359892,-4.07429783982563,4.61533845851599e-05,0.0109008080176189
"ENSG00000181036.14",52.3529934000803,-2.6984007570253,0.666975616825403,-4.04572624389007,5.21611609835197e-05,0.0114113472340829
"ENSG00000181631.7",192.63351806311,-2.2320702245674,0.632090136167739,-3.53125305530013,0.00041359585463851,0.0335871743438935
"ENSG00000182957.16",1985.85936398997,-1.04035597546126,0.232594425241068,-4.47283280492644,7.71901310123852e-06,0.00377225413467133
"ENSG00000184060.11",447.215877126762,-1.35066848574621,0.389099695760059,-3.47126584899492,0.000518010879149881,0.0375037135706211
"ENSG00000184293.7",44.1559739049522,-3.02858164228181,0.717956909543309,-4.2183334431704,2.46114672900129e-05,0.00766064172850583
"ENSG00000186517.14",1707.3835437905,-1.71741717897834,0.502687426366248,-3.41647132770548,0.000634383438436578,0.0410731287649937
"ENSG00000186642.16",508.967968575985,-2.04279138583046,0.533989669403935,-3.82552604081409,0.000130493138788239,0.0184082769547307
"ENSG00000187808.5",66.9032893794624,-1.94528168216707,0.477438200493358,-4.07441566292125,4.6130026182496e-05,0.0109008080176189
"ENSG00000188375.5",12.8747995563451,-2.54599478056888,0.421304168989378,-6.04312743136674,1.51155173111673e-09,6.8944393709119e-06
"ENSG00000188536.13",361.937069094401,-3.41981092838728,0.958069169345887,-3.56948228562884,0.000357687401923555,0.0310210890124308
"ENSG00000188820.13",28.0065947003994,-2.57030055674803,0.773816984018987,-3.32158715798485,0.000895070223825745,0.0495686519133305
"ENSG00000197943.10",1509.97611705443,-1.69476614415602,0.443402334034451,-3.82218588868398,0.000132273915088357,0.0185166360562109
"ENSG00000205045.11",32.5092494742632,-1.94952763805086,0.562461092610793,-3.4660666553871,0.000528132330878548,0.037954849018364
"ENSG00000205268.11",1421.4301659024,-1.44018632527215,0.413449060546174,-3.48334646925944,0.000495187056409411,0.0368255004694466
"ENSG00000211689.7",26.0178241903934,-2.56180590395597,0.702307653554103,-3.64769754535876,0.000264600856739743,0.0267207809830131
"ENSG00000211696.2",3.74871933319845,-2.46632247433837,0.717408455129702,-3.4378218666136,0.000586413329470532,0.0397236969990595
"ENSG00000211804.3",3.52402271490445,-3.24028092228717,0.914392349842111,-3.54364395420268,0.000394637800502099,0.0328269078612187
"ENSG00000211829.9",26.0119932779424,-2.35505943731128,0.599097386140814,-3.93101270643458,8.45888007645871e-05,0.0143785199411457
"ENSG00000213075.7",2.6791999326428,-2.40756135416866,0.695200101131337,-3.46311997114313,0.000533950263897035,0.037954849018364
"ENSG00000213371.4",5.56462526305574,-1.16470369196743,0.331254365036157,-3.51604028475306,0.000438034515044593,0.0348160769667683
